new,361
family,358
world,320
life,294
one,286
young,281
find,266
must,253
friends,237
help,231
get,231
father,228
back,204
school,198
two,198
home,197
time,188
girl,184
boy,183
christmas,183
story,177
save,172
finds,165
way,165
take,160
adventure,158
evil,155
n't,152
named,149
children,148
love,147
day,146
little,145
film,139
parents,124
old,124
first,122
together,122
friend,122
mother,121
three,118
city,116
away,116
son,113
gets,112
town,111
true,109
...,108
set,107
make,107
journey,106
lives,106
discovers,105
secret,104
man,101
team,99
comes,99
however,99
takes,98
king,98
along,93
best,93
wants,93
become,92
discover,91
years,91
soon,91
live,89
kids,89
house,87
gang,87
dog,86
big,85
year,85
magical,84
daughter,84
land,83
mysterious,82
santa,80
high,79
makes,78
magic,78
decides,78
like,77
princess,76
come,76
meets,75
stop,75
also,72
earth,71
learns,70
night,70
work,69
show,69
order,68
everyone,68
real,66
tale,66
learn,66
dreams,65
great,65
summer,65
power,65
living,64
classic,63
tries,63
return,63
movie,63
goes,63
place,62
things,62
island,61
around,61
every,61
quest,60
kingdom,59
begins,59
group,59
adventures,59
meet,59
fairy,59
falls,59
jack,59
becomes,58
series,58
animated,57
plan,56
turn,56
could,56
witch,56
tells,56
people,56
end,55
friendship,55
trying,55
long,55
good,54
village,54
turns,54
fight,54
book,54
powers,53
small,53
cat,53
even,52
disney,52
child,52
girls,52
mission,51
never,51
robot,51
another,51
much,51
based,51
woman,50
upon,50
join,50
decide,49
accidentally,49
heart,49
sets,49
animals,49
lost,49
fun,49
tom,49
determined,48
human,48
change,48
local,48
mr.,47
ever,47
forest,47
race,47
finally,47
dream,47
keep,46
rescue,46
queen,46
win,46
trouble,46
see,46
sister,45
dangerous,45
battle,45
bring,45
dragon,45
wife,45
search,45
still,45
holiday,45
popular,45
escape,44
country,44
wild,44
try,44
whose,44
star,44
brother,44
many,44
boys,44
really,43
owner,43
left,43
last,43
college,43
spirit,43
baby,43
prince,42
put,42
leads,42
forced,42
known,42
forces,42
treasure,42
run,42
face,42
black,41
job,41
eve,41
monster,41
characters,40
game,40
far,40
special,40
strange,40
death,40
trip,40
prove,39
play,39
give,39
sent,39
york,39
would,39
since,39
mystery,38
beautiful,38
begin,38
taken,38
uncle,38
sisters,38
given,38
always,38
future,38
mouse,38
different,38
wizard,37
everything,37
chance,36
starts,36
five,36
made,36
bear,36
use,36
grandfather,36
going,36
max,36
embark,35
creatures,35
animal,35
well,35
business,35
hero,35
park,35
follows,35
beloved,35
problems,35
war,35
stars,35
making,35
behind,34
space,34
including,34
ancient,34
called,34
road,33
